"Table S2, dinocyst percentages and environmental parameters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Dinocyst  percentages, See table 1 for abbreviations ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Site number","Aand","Atax","Btep","Bspo","Iacu","Ipal","Ipar","Ipat","Isph","Istr","Ipli","Ivel","Ijap","Lmac","Mcho","Nlab","Nrig","Ocen","Oisr","Ojan","Olon","Ogig","Pzoh","Pret","Smem","Sdel","Selo","Sram","Sbel","Sben","Sbul","Slaz","Smir","Sgra","Spac","Sspp","Tpel","Pdal","Stri","Imin","Imic","Ibre","Ekar","Bspp","Dubr","Peri","Lspp","Snep","Xxan","Squa","Pnud","Tapp","Tvar","Vcal","Vspi","Pame","Qcon","Pkof","Parc","Psch","Gymn","Eacu","Egra","Edel","Etra","Espp","Sste","Sbif","Cysa","Tvan","Dcha"
"E003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35195530726257,0,0,0,0,0,0,0,0,1.67597765363128,0.558659217877095,0,0,0,0,0,0,0,0,0,32.9608938547486,0,8.93854748603352,0,0,0,46.927374301676,0,0,0,0,0,5.02793296089386,0,0,0,0,0,0.558659217877095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E004",0,0,1.08695652173913,0,0,0,0,0,0,0,0,0,0,0,0,2.17391304347826,0,2.17391304347826,0,0,0,0,0,0,0,0,1.08695652173913,0,0,0,0,0,0,0,0,0,0,20.6521739130435,0,7.60869565217391,0,0,0,58.695652173913,0,0,0,0,0,4.34782608695652,0,0,0,0,0,2.17391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617283950617284,0,5.55555555555556,0,0,0,0,0,0,0,0,0.617283950617284,0,0,0,0,0,0,0,0,1.85185185185185,0,13.5802469135802,0,12.962962962963,0,0,0,54.320987654321,0,0,0,0,0,4.93827160493827,0,0,0,0,0,5.55555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E006",0,0.714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1428571428571,0,12.1428571428571,0,0,0,48.5714285714286,0,0,0,0,0,8.57142857142857,0,0,0,0,0,2.14285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E007",0,0.48780487804878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92682926829268,0,0,0,0,0,0,0,0,0.48780487804878,0,0,0,0,0,0,0,0,0,0,29.2682926829268,0,7.31707317073171,0.48780487804878,0,0,54.1463414634146,0,0,0,0,0,1.46341463414634,0,0,0,0,0,3.41463414634146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.20231213872832,0,0,0,0,0,0,0,0,0.578034682080925,0,0,0,0,0,0,0,0,0,0,11.5606936416185,0,9.2485549132948,0,0,0,62.4277456647399,0,0,0,0,0,10.4046242774566,0,0,0,0,0,0.578034682080925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12765957446809,0,3.19148936170213,0,0,0,0,0,0,0,0,2.12765957446809,1.06382978723404,0,0,0,0,0,0,0,2.12765957446809,0,13.8297872340426,1.06382978723404,7.4468085106383,0,0,0,61.7021276595745,0,0,0,0,0,4.25531914893617,0,0,0,0,0,1.06382978723404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.584795321637427,0,6.4327485380117,0,0,0,0,0,0,0,0,1.75438596491228,0.584795321637427,0,0,0,0,0,0,0,0.584795321637427,0,19.8830409356725,0,2.33918128654971,0,0,0,57.8947368421053,0,0,0,0,0,2.33918128654971,0,0,0,0,0,7.60233918128655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33333333333333,0,2,0,0,0,0,0,0,0,0,1.33333333333333,0,0,0,0,0,0,0,0,0,0,35,0,5.66666666666667,0,0,0,38.6666666666667,0,0,0,0,0,7.33333333333333,0,0,0,0,0,7.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709219858156028,0,0.709219858156028,0,0,0,0,0,0,0,0,1.77304964539007,0.709219858156028,0,0,0,0,0,0,0,0,0,46.4539007092199,0,3.54609929078014,0,0,0,27.6595744680851,0,0,0,0,0,18.4397163120567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
